140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 1 | Aktivni | 20 kWh] delayed_pv_charge                 554.09 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 20 kWh] fixed_schedule                    746.00 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] price_threshold                   501.16 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 20 kWh] price_threshold                   473.73 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 20 kWh] price_threshold                   565.77 EUR  (   1.8 s)
  [Fluvius 1 | Redni 1T | 10 kWh] peak_shaving                      496.82 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 10 kWh] self_consumption_peak_shaving     563.20 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 20 kWh] price_threshold                   426.45 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] price_rank_daily                  508.13 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 20 kWh] delayed_pv_charge                 676.68 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 20 kWh] price_rank_daily                  473.78 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 20 kWh] price_rank_daily                  575.93 EUR  (   1.7 s)
  [Fluvius 1 | Redni 1T | 10 kWh] self_consumption_peak_shaving     496.86 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 10 kWh] price_oracle                      566.77 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 20 kWh] price_rank_daily                  423.94 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 20 kWh] price_threshold                   520.50 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] peak_shaving                      515.20 EUR  (   1.7 s)
  [Fluvius 2 | Aktivni | 20 kWh] peak_shaving                      591.68 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 20 kWh] peak_shaving                      581.92 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 10 kWh] price_oracle                      501.25 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 20 kWh] peak_shaving                      551.06 EUR  (   1.7 s)
  [Fluvius 3 | Aktivni | 20 kWh] price_rank_daily                  526.88 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 20 kWh] self_consumption_peak_shaving     515.39 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 20 kWh] self_consumption_peak_shaving     582.08 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 20 kWh] self_consumption_peak_shaving     591.90 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 20 kWh] peak_shaving                      672.37 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 20 kWh] self_consumption_peak_shaving     551.27 EUR  (   1.7 s)
  [Fluvius 1 | Redni 2T | 20 kWh] price_oracle                      500.24 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 20 kWh] price_oracle                      473.03 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 20 kWh] price_oracle                      565.13 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 20 kWh] self_consumption_peak_shaving     672.55 EUR  (   1.6 s)
  [Fluvius 1 | Aktivni | 20 kWh] price_oracle                      425.76 EUR  (   1.6 s)
