140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 2 | Redni 2T | 30 kWh] delayed_pv_charge                 587.15 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] price_rank_daily                  526.16 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 10 kWh] milp_full_period                  495.51 EUR  (  66.4 s)
  [Fluvius 1 | Redni 2T | 30 kWh] peak_shaving                      515.27 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] price_threshold                   565.59 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] peak_shaving                      672.32 EUR  (   1.6 s)
  [Fluvius 1 | Redni 2T | 30 kWh] self_consumption_peak_shaving     515.34 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] price_rank_daily                  579.41 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 20 kWh] no_battery                        501.17 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] self_consumption_peak_shaving     672.54 EUR  (   1.7 s)
  [Fluvius 3 | Dinamični | 10 kWh] milp_full_period                  354.09 EUR  (  91.4 s)
  [Fluvius 1 | Redni 2T | 30 kWh] price_oracle                      500.06 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] peak_shaving                      581.99 EUR  (   1.7 s)
  [Fluvius 1 | Redni 1T | 20 kWh] self_consumption                  501.32 EUR  (   1.5 s)
  [Fluvius 3 | Aktivni | 30 kWh] price_oracle                      519.80 EUR  (   1.6 s)
  [Fluvius 3 | Dinamični | 20 kWh] no_battery                        643.37 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] self_consumption_peak_shaving     582.21 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 20 kWh] fixed_schedule                    523.05 EUR  (   1.6 s)
  [Fluvius 3 | Dinamični | 20 kWh] self_consumption                  644.38 EUR  (   1.6 s)
  [Fluvius 2 | Redni 2T | 30 kWh] price_oracle                      564.90 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 20 kWh] delayed_pv_charge                 501.32 EUR  (   1.6 s)
  [Fluvius 3 | Dinamični | 20 kWh] fixed_schedule                    584.20 EUR  (   1.6 s)
  [Fluvius 2 | Dinamični | 10 kWh] milp_full_period                  295.99 EUR  (  93.4 s)
  [Fluvius 1 | Redni 1T | 20 kWh] price_threshold                   501.32 EUR  (   1.8 s)
  [Fluvius 1 | Dinamični | 10 kWh] milp_full_period                  258.54 EUR  (  86.4 s)
  [Fluvius 3 | Dinamični | 20 kWh] delayed_pv_charge                 644.38 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 20 kWh] price_rank_daily                  501.32 EUR  (   1.8 s)
  [Fluvius 2 | Dinamični | 20 kWh] no_battery                        573.99 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 20 kWh] no_battery                        540.40 EUR  (   1.6 s)
  [Fluvius 3 | Dinamični | 20 kWh] price_threshold                   541.30 EUR  (   1.7 s)
  [Fluvius 1 | Redni 1T | 20 kWh] peak_shaving                      496.89 EUR  (   1.6 s)
  [Fluvius 2 | Dinamični | 20 kWh] self_consumption                  574.84 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 20 kWh] self_consumption                  540.89 EUR  (   1.7 s)
  [Fluvius 3 | Dinamični | 20 kWh] price_rank_daily                  509.53 EUR  (   1.7 s)
  [Fluvius 2 | Dinamični | 20 kWh] fixed_schedule                    543.66 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 20 kWh] self_consumption_peak_shaving     496.93 EUR  (   1.7 s)
  [Fluvius 1 | Dinamični | 20 kWh] fixed_schedule                    480.97 EUR  (   1.6 s)
  [Fluvius 3 | Dinamični | 20 kWh] peak_shaving                      636.27 EUR  (   1.7 s)
  [Fluvius 2 | Dinamični | 20 kWh] delayed_pv_charge                 574.84 EUR  (   1.6 s)
  [Fluvius 1 | Redni 1T | 20 kWh] price_oracle                      501.32 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 20 kWh] delayed_pv_charge                 540.89 EUR  (   1.6 s)
  [Fluvius 3 | Dinamični | 20 kWh] self_consumption_peak_shaving     637.06 EUR  (   1.7 s)
  [Fluvius 2 | Dinamični | 20 kWh] price_threshold                   491.97 EUR  (   1.5 s)
  [Fluvius 1 | Dinamični | 20 kWh] price_threshold                   444.41 EUR  (   1.6 s)
  [Fluvius 3 | Dinamični | 20 kWh] price_oracle                      521.35 EUR  (   1.6 s)
  [Fluvius 2 | Redni 1T | 10 kWh] milp_full_period                  560.82 EUR  (  86.0 s)
  [Fluvius 2 | Dinamični | 20 kWh] price_rank_daily                  464.21 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 20 kWh] price_rank_daily                  413.55 EUR  (   1.6 s)
  [Fluvius 2 | Dinamični | 20 kWh] peak_shaving                      571.05 EUR  (   1.6 s)
  [Fluvius 2 | Redni 1T | 20 kWh] no_battery                        566.69 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 20 kWh] peak_shaving                      532.55 EUR  (   1.6 s)
  [Fluvius 2 | Dinamični | 20 kWh] self_consumption_peak_shaving     571.57 EUR  (   1.6 s)
  [Fluvius 2 | Redni 1T | 20 kWh] self_consumption                  566.84 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 20 kWh] self_consumption_peak_shaving     532.94 EUR  (   1.6 s)
  [Fluvius 2 | Dinamični | 20 kWh] price_oracle                      478.37 EUR  (   1.6 s)
  [Fluvius 2 | Redni 1T | 20 kWh] fixed_schedule                    591.63 EUR  (   1.6 s)
  [Fluvius 1 | Dinamični | 20 kWh] price_oracle                      429.65 EUR  (   1.6 s)
  [Fluvius 2 | Redni 1T | 20 kWh] delayed_pv_charge                 566.84 EUR  (   1.6 s)
  [Fluvius 2 | Redni 1T | 20 kWh] price_threshold                   566.84 EUR  (   1.7 s)
  [Fluvius 1 | Aktivni | 30 kWh] milp_full_period                   23.74 EUR  (  33.6 s)
[1/140] Fluvius_user_001_aktivni.csv (40 rows)  (220s elapsed)
  [Fluvius 2 | Redni 1T | 20 kWh] price_rank_daily                  566.84 EUR  (   1.6 s)
  [Fluvius 2 | Redni 1T | 20 kWh] peak_shaving                      563.16 EUR  (   1.7 s)
  [Fluvius 2 | Redni 1T | 20 kWh] self_consumption_peak_shaving     563.28 EUR  (   1.7 s)
  [Fluvius 3 | Redni 1T | 5 kWh] no_battery                        614.33 EUR  (   1.6 s)
  [Fluvius 2 | Aktivni | 30 kWh] milp_full_period                   66.10 EUR  (  36.5 s)
[2/140] Fluvius_user_002_aktivni.csv (40 rows)  (227s elapsed)
  [Fluvius 2 | Redni 1T | 20 kWh] price_oracle                      566.84 EUR  (   1.6 s)
  [Fluvius 3 | Redni 1T | 5 kWh] self_consumption                  614.37 EUR  (   1.6 s)
  [Fluvius 3 | Redni 1T | 5 kWh] fixed_schedule                    633.36 EUR  (   1.6 s)
  [Fluvius 3 | Redni 1T | 5 kWh] delayed_pv_charge                 614.37 EUR  (   1.6 s)
  [Fluvius 3 | Redni 2T | 5 kWh] no_battery                        632.78 EUR  (   1.6 s)
  [Fluvius 3 | Redni 1T | 5 kWh] price_threshold                   614.37 EUR  (   1.6 s)
  [Fluvius 3 | Redni 2T | 5 kWh] self_consumption                  632.84 EUR  (   1.6 s)
  [Fluvius 3 | Aktivni | 30 kWh] milp_full_period                  136.43 EUR  (  36.4 s)
[3/140] Fluvius_user_003_aktivni.csv (40 rows)  (234s elapsed)
  [Fluvius 3 | Redni 1T | 5 kWh] price_rank_daily                  614.37 EUR  (   1.6 s)
  [Fluvius 3 | Redni 2T | 5 kWh] fixed_schedule                    624.06 EUR  (   1.6 s)
  [Fluvius 3 | Redni 1T | 5 kWh] peak_shaving                      609.42 EUR  (   1.6 s)
  [Fluvius 3 | Redni 2T | 5 kWh] delayed_pv_charge                 632.84 EUR  (   1.6 s)
  [Fluvius 3 | Redni 1T | 5 kWh] self_consumption_peak_shaving     609.50 EUR  (   1.6 s)
  [Fluvius 3 | Redni 2T | 5 kWh] price_threshold                   619.84 EUR  (   1.6 s)
  [Fluvius 3 | Redni 1T | 5 kWh] price_oracle                      614.37 EUR  (   1.6 s)
  [Fluvius 4 | Dinamični | 5 kWh] no_battery                        604.30 EUR  (   1.6 s)
  [Fluvius 3 | Redni 2T | 5 kWh] price_rank_daily                  622.92 EUR  (   1.6 s)
  [Fluvius 4 | Dinamični | 5 kWh] self_consumption                  604.60 EUR  (   1.6 s)
  [Fluvius 3 | Redni 2T | 5 kWh] peak_shaving                      627.03 EUR  (   1.6 s)
  [Fluvius 4 | Dinamični | 5 kWh] fixed_schedule                    576.49 EUR  (   1.5 s)
  [Fluvius 3 | Redni 2T | 5 kWh] self_consumption_peak_shaving     627.13 EUR  (   1.5 s)
  [Fluvius 4 | Dinamični | 5 kWh] delayed_pv_charge                 604.60 EUR  (   1.5 s)
  [Fluvius 3 | Redni 2T | 5 kWh] price_oracle                      619.46 EUR  (   1.5 s)
  [Fluvius 4 | Dinamični | 5 kWh] price_threshold                   543.83 EUR  (   1.5 s)
  [Fluvius 4 | Dinamični | 5 kWh] price_rank_daily                  499.79 EUR  (   1.5 s)
  [Fluvius 4 | Dinamični | 5 kWh] peak_shaving                      598.44 EUR  (   1.5 s)
  [Fluvius 1 | Redni 2T | 30 kWh] milp_full_period                  492.45 EUR  (  52.1 s)
[4/140] Fluvius_user_001_redni2t.csv (40 rows)  (249s elapsed)
  [Fluvius 4 | Dinamični | 5 kWh] self_consumption_peak_shaving     598.64 EUR  (   1.5 s)
  [Fluvius 4 | Dinamični | 5 kWh] price_oracle                      533.41 EUR  (   1.5 s)
  [Fluvius 2 | Redni 2T | 30 kWh] milp_full_period                  556.55 EUR  (  53.3 s)
[5/140] Fluvius_user_002_redni2t.csv (40 rows)  (253s elapsed)
  [Fluvius 4 | Aktivni | 5 kWh] no_battery                        632.21 EUR  (   1.5 s)
  [Fluvius 4 | Aktivni | 5 kWh] self_consumption                  632.24 EUR  (   1.5 s)
  [Fluvius 4 | Aktivni | 5 kWh] fixed_schedule                    706.37 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 5 kWh] delayed_pv_charge                 632.24 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] no_battery                        567.78 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 5 kWh] price_threshold                   486.10 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] self_consumption                  567.82 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 5 kWh] price_rank_daily                  496.21 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] fixed_schedule                    587.43 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 5 kWh] peak_shaving                      629.22 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] delayed_pv_charge                 567.82 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 5 kWh] self_consumption_peak_shaving     629.31 EUR  (   1.5 s)
  [Fluvius 4 | Redni 1T | 5 kWh] price_threshold                   567.82 EUR  (   1.5 s)
  [Fluvius 4 | Aktivni | 5 kWh] price_oracle                      485.92 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] price_rank_daily                  567.82 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] peak_shaving                      565.10 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] self_consumption_peak_shaving     565.14 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] price_oracle                      567.82 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 5 kWh] milp_full_period                  611.08 EUR  (  27.3 s)
  [Fluvius 3 | Redni 2T | 10 kWh] no_battery                        632.78 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 10 kWh] self_consumption                  632.91 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 10 kWh] fixed_schedule                    622.51 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 10 kWh] delayed_pv_charge                 632.91 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 10 kWh] price_threshold                   613.46 EUR  (   1.5 s)
  [Fluvius 3 | Redni 2T | 10 kWh] price_rank_daily                  618.28 EUR  (   1.5 s)
  [Fluvius 3 | Redni 2T | 10 kWh] peak_shaving                      627.09 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 10 kWh] self_consumption_peak_shaving     627.19 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 10 kWh] price_oracle                      612.80 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 5 kWh] milp_full_period                  470.46 EUR  (  30.1 s)
  [Fluvius 4 | Aktivni | 10 kWh] no_battery                        632.21 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] self_consumption                  632.25 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] fixed_schedule                    698.06 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] delayed_pv_charge                 632.25 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] price_threshold                   471.97 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] price_rank_daily                  476.54 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] peak_shaving                      629.20 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] self_consumption_peak_shaving     629.33 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 5 kWh] milp_full_period                  427.54 EUR  (  56.3 s)
  [Fluvius 4 | Aktivni | 10 kWh] price_oracle                      471.84 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] no_battery                        604.30 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] self_consumption                  604.76 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] fixed_schedule                    544.36 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 5 kWh] milp_full_period                  608.47 EUR  (  73.9 s)
  [Fluvius 1 | Redni 1T | 20 kWh] milp_full_period                  495.51 EUR  ( 105.3 s)
  [Fluvius 4 | Dinamični | 10 kWh] delayed_pv_charge                 604.76 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 10 kWh] milp_full_period                  606.08 EUR  (  28.8 s)
  [Fluvius 3 | Redni 1T | 10 kWh] no_battery                        614.33 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] price_threshold                   522.02 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] no_battery                        501.17 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] self_consumption                  614.40 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] no_battery                        632.78 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] price_rank_daily                  472.16 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] self_consumption                  501.39 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] fixed_schedule                    640.24 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] self_consumption                  633.04 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] peak_shaving                      598.46 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] fixed_schedule                    523.04 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] delayed_pv_charge                 614.40 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] fixed_schedule                    623.63 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] self_consumption_peak_shaving     598.77 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] delayed_pv_charge                 501.39 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] price_threshold                   614.40 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] delayed_pv_charge                 633.04 EUR  (   1.4 s)
  [Fluvius 4 | Dinamični | 10 kWh] price_oracle                      505.05 EUR  (   1.5 s)
  [Fluvius 1 | Redni 1T | 30 kWh] price_threshold                   501.39 EUR  (   1.5 s)
  [Fluvius 3 | Redni 1T | 10 kWh] price_rank_daily                  614.40 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] price_threshold                   612.62 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] price_rank_daily                  501.39 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] peak_shaving                      609.46 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] price_rank_daily                  619.33 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] peak_shaving                      496.89 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] self_consumption_peak_shaving     609.58 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] peak_shaving                      627.16 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] self_consumption_peak_shaving     496.96 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] price_oracle                      614.40 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] self_consumption_peak_shaving     627.33 EUR  (   1.4 s)
  [Fluvius 1 | Redni 1T | 30 kWh] price_oracle                      501.39 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] price_oracle                      611.91 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 20 kWh] milp_full_period                  560.82 EUR  ( 109.2 s)
  [Fluvius 2 | Redni 1T | 30 kWh] no_battery                        566.69 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 30 kWh] self_consumption                  566.91 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 30 kWh] fixed_schedule                    591.63 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 5 kWh] milp_full_period                  564.11 EUR  (  71.6 s)
  [Fluvius 2 | Redni 1T | 30 kWh] delayed_pv_charge                 566.91 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] no_battery                        567.78 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 30 kWh] price_threshold                   566.91 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] self_consumption                  567.86 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 30 kWh] price_rank_daily                  566.91 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] fixed_schedule                    597.87 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 30 kWh] peak_shaving                      563.16 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] delayed_pv_charge                 567.86 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 30 kWh] self_consumption_peak_shaving     563.35 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] price_threshold                   567.86 EUR  (   1.4 s)
  [Fluvius 2 | Redni 1T | 30 kWh] price_oracle                      566.91 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] price_rank_daily                  567.86 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] peak_shaving                      565.11 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] self_consumption_peak_shaving     565.17 EUR  (   1.4 s)
  [Fluvius 4 | Redni 1T | 10 kWh] price_oracle                      567.86 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 10 kWh] milp_full_period                  387.84 EUR  (  59.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] no_battery                        632.21 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] self_consumption                  632.07 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] fixed_schedule                    698.48 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] delayed_pv_charge                 632.07 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] price_threshold                   472.36 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] price_rank_daily                  475.58 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] peak_shaving                      629.14 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] self_consumption_peak_shaving     629.19 EUR  (   1.4 s)
  [Fluvius 4 | Aktivni | 20 kWh] price_oracle                      471.32 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 20 kWh] milp_full_period                  603.64 EUR  (  56.1 s)
  [Fluvius 3 | Redni 2T | 30 kWh] no_battery                        632.78 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 30 kWh] self_consumption                  633.18 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 10 kWh] milp_full_period                  608.47 EUR  (  62.2 s)
  [Fluvius 3 | Redni 2T | 30 kWh] fixed_schedule                    623.81 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 30 kWh] delayed_pv_charge                 633.18 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 20 kWh] no_battery                        614.33 EUR  (   1.4 s)
  [Fluvius 3 | Dinamični | 20 kWh] milp_full_period                  149.80 EUR  ( 180.2 s)
  [Fluvius 3 | Redni 2T | 30 kWh] price_threshold                   612.28 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 20 kWh] self_consumption                  614.47 EUR  (   1.4 s)
  [Fluvius 3 | Redni 2T | 30 kWh] price_rank_daily                  623.81 EUR  (   1.4 s)
  [Fluvius 3 | Redni 1T | 20 kWh] fixed_schedule                    642.56 EUR  (   1.4 s)
