Dataset,Household,Tariff,Capacity_kWh,Power_kW,Cost_EUR,Netting_Credit_EUR,Charged_kWh,Discharged_kWh,Stored_Out_kWh,Grid_Charged_kWh,Import_kWh,Export_kWh,Curtailed_kWh,Peak_Import_kW,Equivalent_Full_Cycles,EFC_AC_Legacy,N_Steps,First_Step,Last_Step,Contracted_Power_kW,Solve_s
Fluvius_PV_EV,99,Redni,2.5,1.25,325.9049217036168,0.0,748.52746938887,675.5460399960008,711.1010947326324,1.5838025335668249e-15,1356.8869600039993,1921.45153061113,0.0,6.7485,284.4404381304118,270.2184159984003,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,24.861380100250244
Fluvius_PV_EV,99,Redni,3.0,1.5,318.7583784099271,0.0,830.9051456514701,749.8918949960059,789.35988946948,2.0573820425084932e-15,1282.541105003994,1839.0738543485302,0.0,6.511,263.11996297306274,249.96396499866864,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,23.50321102142334
Fluvius_PV_EV,99,Dinamični,30.0,11.0,-376.17519140253603,0.0,7625.6822351686005,6882.178209107699,7244.39811485021,5813.3533630604,6467.751525416,6309.1798340711,52.613665284,13.630947200000001,241.47993730433967,229.40594030358997,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,113.19688129425049
Fluvius_PV_EV,99,Redni,4.0,2.0,307.5888969276414,0.0,958.8160418003,865.3314774730027,910.8752394452661,2.3349377986647823e-15,1167.1015225269973,1711.1629581997,0.0,6.036,227.7188098944439,216.33286936825067,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,23.49720788002014
Fluvius_PV_EV,99,Dinamični,40.0,11.0,-465.8045171256525,0.0,8863.9261695278,7999.693399686699,8420.729894407052,7037.9073920638,7642.1308560504,7365.899574235299,49.544511974,13.630947200000001,210.51824694323076,199.99233499216749,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,111.79317092895508
Fluvius_PV_EV,99,Redni,5.0,2.5,299.5226101734446,0.0,1049.9903187232,947.6162624727001,997.4908026028422,2.2898349882893854e-15,1084.8167375273,1619.9886812768,0.0,5.561,199.4981605389882,189.52325249454003,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,24.139981746673584
Fluvius_PV_EV,99,Redni,6.0,3.0,293.6058974657447,0.0,1117.8648586776,1008.873034973,1061.9716157610526,2.4147350785597155e-15,1023.5599650270001,1552.1141413224,0.0,5.29066668,176.99526929206436,168.14550582883334,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,23.403406143188477
Fluvius_PV_EV,99,Redni,7.5,3.75,287.1042151053438,0.0,1196.4723046693998,1079.8162549730002,1136.6486894452635,2.5604518505417673e-15,952.6167450270001,1473.5066953306,0.0,5.29066668,151.55315859207954,143.9755006630667,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,23.871134996414185
Fluvius_PV_EV,99,Redni,10.0,5.0,279.4774091618418,0.0,1289.06452905259,1163.3807374727,1224.6113026028422,2.654126918244515e-15,869.0522625273,1380.91447094741,0.0,5.29066668,122.46113026014014,116.33807374727,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,30.01150393486023
Fluvius_PV_EV,99,Redni,15.0,7.5,272.0448557703626,0.0,1379.9692714716,1245.42226747301,1310.9708078663264,2.7313221129254828e-15,787.0107325269901,1290.0097285284,0.0,5.29066668,87.39805385881155,83.02815116486732,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,5.290666666666667,43.07224798202515
