Dataset,Household,Paket_ID,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power
Fluvius_HP,1,ELEN_FIKSNI,1966.1204453793,1746.2404888234,204.62881856989998,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,ELEN_ZANESLJIVA,1903.0747066792999,1683.1947501234,204.62881856989998,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,GENI_AKTIVNI,1865.0342928354,1647.9358583034,201.847296546,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,GENI_DINAMICNI,1779.1792395373,1547.7340066374,216.19409491390002,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,GENI_FIKSNI,1900.2931846554,1683.1947501234,201.847296546,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,GENI_REDNI,1837.2474459554,1620.1490114234,201.847296546,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,PETROL_AKCIJSKI,1866.3145777565,1634.7229488504001,216.3404909201,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,PETROL_FIKS2026,1902.8076886765,1671.2160597704,216.3404909201,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,1,PETROL_REDNI,1967.1877596764998,1735.5961307704,216.3404909201,15.251137986,10335.366999999998,prev1m_cyclic_unbounded
Fluvius_HP,2,BISOL_DINAMICNI,1818.9091638956,1534.9109848941998,272.3374330234,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,BISOL_DINAMICNI_PLUS,1842.7716954424,1534.9109848941998,296.19996457020005,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,BISOL_FIKSNI,1846.6881998476001,1562.6900208462,272.3374330234,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,BISOL_FIKSNI99,1671.8784038876001,1387.8802248862,272.3374330234,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,BISOL_FIKSNI_VEZAVA,1722.8275583276002,1438.8293793262,272.3374330234,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,ELEN_DINAMICNA,1774.2970803878,1482.5399181972,280.0964162126,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,ELEN_FIKSNI,1861.606052277,1584.1956884541999,265.7496178448,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,ELEN_ZANESLJIVA,1805.305760677,1527.8953968542,265.7496178448,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,GENI_AKTIVNI,1770.7828947627,1496.1540529541999,262.9680958305,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,GENI_DINAMICNI,1771.5155586704,1482.5399181972,277.3148944952,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,GENI_FIKSNI,1802.5242386627,1527.8953968542,262.9680958305,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,GENI_REDNI,1746.2239470627,1471.5951052542,262.9680958305,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,PETROL_AKCIJSKI,1772.4286452768001,1483.3066096902,277.4612896086,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,PETROL_FIKS2026,1806.3203770368,1517.1983414502,277.4612896086,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,2,PETROL_REDNI,1862.5091118368002,1573.3870762502002,277.4612896086,11.660745978,9229.556,prev1m_cyclic_unbounded
Fluvius_HP,3,BISOL_DINAMICNI,1131.3896705467,947.9781534626,175.7532064241,7.6583106600000015,6826.875,prev1m_cyclic_unbounded
Fluvius_HP,3,BISOL_DINAMICNI_PLUS,1155.2522021143,947.9781534626,199.61573799169997,7.6583106600000015,6826.875,prev1m_cyclic_unbounded
Fluvius_HP,3,BISOL_FIKSNI,1266.7225190781,1083.311001994,175.7532064241,7.6583106600000015,6826.875,prev1m_cyclic_unbounded
Fluvius_HP,3,BISOL_FIKSNI99,1152.2212673781,968.809750294,175.7532064241,7.6583106600000015,6826.875,prev1m_cyclic_unbounded
Fluvius_HP,3,BISOL_FIKSNI_VEZAVA,1175.1058565781,991.6943394939999,175.7532064241,7.6583106600000015,6826.875,prev1m_cyclic_unbounded
