Dataset,Household,Option,Paket_ID,Variant,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power,Per_Group
Fluvius,5,PETROL_REDNI@2T,PETROL_REDNI,2T,217.09869276259997,123.92396704739997,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius,5,PETROL_REDNI@1T,PETROL_REDNI,1T,217.78094116259996,124.60621544739996,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_DINAMICNI,BISOL_DINAMICNI,-,694.2987073037999,509.73892317779996,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_DINAMICNI_PLUS,BISOL_DINAMICNI_PLUS,-,718.1612394467,509.73892317779996,200.9322071669,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_FIKSNI@2T,BISOL_FIKSNI,2T,723.9419717587999,539.3821876328,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_FIKSNI@1T,BISOL_FIKSNI,1T,723.1357225588,538.5759384328001,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_FIKSNI99@2T,BISOL_FIKSNI99,2T,663.3454245388,478.7856404128,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_FIKSNI99@1T,BISOL_FIKSNI99,1T,652.9996110388,468.4398269128001,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_FIKSNI_VEZAVA@2T,BISOL_FIKSNI_VEZAVA,2T,681.0810147188,496.52123059280007,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,BISOL_FIKSNI_VEZAVA@1T,BISOL_FIKSNI_VEZAVA,1T,676.3783148788001,491.81853075280003,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,ELEN_DINAMICNA,ELEN_DINAMICNA,-,685.9557893885,493.63702237079997,184.8286579157,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,ELEN_FIKSNI@2T,ELEN_FIKSNI,2T,724.8380377162,546.8660687688,170.4818598454,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,ELEN_FIKSNI@1T,ELEN_FIKSNI,1T,723.9511635961999,545.9791946487999,170.4818598454,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,ELEN_ZANESLJIVA@2T,ELEN_ZANESLJIVA,2T,705.3557845162,527.3838155688,170.4818598454,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,ELEN_ZANESLJIVA@1T,ELEN_ZANESLJIVA,1T,704.4689103962002,526.4969414488002,170.4818598454,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,GENI_AKTIVNI,GENI_AKTIVNI,-,682.3125522244001,507.1221055888001,167.70033753360002,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
Fluvius_EV,1,GENI_DINAMICNI,GENI_DINAMICNI,-,683.1742676719,493.63702237079997,182.0471361991,7.490109102000001,3193.812,prev1m_cyclic_unbounded,5
